,Ticker Symbol,Years,Period Ending,Total Revenue,Cost of Goods Sold,"Sales, General and Admin.",Research and Development,Other Operating Items,GICS Sector,GICS Sub Industry,Total Revenue_sum,Cost of Goods Sold_sum,"Sales, General and Admin._sum",Other Operating Items_sum,Research and Development_sum
435,DHR,Year 4,2015-12-31,20,9.0,6.0543,1.2391,,Industrials,Industrial Conglomerates,75,34.0,21.7416,0.0,4.6384
436,DIS,Year 1,2013-09-28,45,25.0,8.365,,2.192,Consumer Discretionary,Broadcasting & Cable TV,200,108.0,34.207,9.361,0.0
437,DIS,Year 2,2014-09-27,48,26.0,8.565,,2.288,Consumer Discretionary,Broadcasting & Cable TV,200,108.0,34.207,9.361,0.0
438,DIS,Year 3,2015-10-03,52,28.0,8.523,,2.354,Consumer Discretionary,Broadcasting & Cable TV,200,108.0,34.207,9.361,0.0
439,DIS,Year 4,2016-10-01,55,29.0,8.754,,2.527,Consumer Discretionary,Broadcasting & Cable TV,200,108.0,34.207,9.361,0.0
440,DISCA,Year 1,2013-12-31,5,1.0,1.598,,0.276,Consumer Discretionary,Cable & Satellite,23,7.0,6.649,1.2570000000000001,0.0
441,DISCA,Year 2,2014-12-31,6,2.0,1.692,,0.329,Consumer Discretionary,Cable & Satellite,23,7.0,6.649,1.2570000000000001,0.0
442,DISCA,Year 3,2015-12-31,6,2.0,1.669,,0.33,Consumer Discretionary,Cable & Satellite,23,7.0,6.649,1.2570000000000001,0.0
443,DISCA,Year 4,2016-12-31,6,2.0,1.69,,0.322,Consumer Discretionary,Cable & Satellite,23,7.0,6.649,1.2570000000000001,0.0
444,DISCK,Year 1,2013-12-31,5,1.0,1.598,,0.276,Consumer Discretionary,Cable & Satellite,23,7.0,6.649,1.2570000000000001,0.0
445,DISCK,Year 2,2014-12-31,6,2.0,1.692,,0.329,Consumer Discretionary,Cable & Satellite,23,7.0,6.649,1.2570000000000001,0.0
446,DISCK,Year 3,2015-12-31,6,2.0,1.669,,0.33,Consumer Discretionary,Cable & Satellite,23,7.0,6.649,1.2570000000000001,0.0
447,DISCK,Year 4,2016-12-31,6,2.0,1.69,,0.322,Consumer Discretionary,Cable & Satellite,23,7.0,6.649,1.2570000000000001,0.0
448,DLPH,Year 1,2013-12-31,15,12.0,0.916,,0.097,Consumer Discretionary,Auto Parts & Equipment,61,49.0,4.114,0.41800000000000004,0.0
449,DLPH,Year 2,2014-12-31,15,12.0,1.036,,0.094,Consumer Discretionary,Auto Parts & Equipment,61,49.0,4.114,0.41800000000000004,0.0
450,DLPH,Year 3,2015-12-31,15,12.0,1.017,,0.093,Consumer Discretionary,Auto Parts & Equipment,61,49.0,4.114,0.41800000000000004,0.0
451,DLPH,Year 4,2016-12-31,16,13.0,1.145,,0.134,Consumer Discretionary,Auto Parts & Equipment,61,49.0,4.114,0.41800000000000004,0.0
452,DLR,Year 1,2012-12-31,1,0.0,0.068538,,0.382553,Real Estate,Specialized REITs,4,0.0,0.36694499999999997,1.967057,0.0
453,DLR,Year 2,2013-12-31,1,0.0,0.069323,,0.475464,Real Estate,Specialized REITs,4,0.0,0.36694499999999997,1.967057,0.0
454,DLR,Year 3,2014-12-31,1,0.0,0.089468,,0.538513,Real Estate,Specialized REITs,4,0.0,0.36694499999999997,1.967057,0.0
455,DLR,Year 4,2015-12-31,1,0.0,0.139616,,0.570527,Real Estate,Specialized REITs,4,0.0,0.36694499999999997,1.967057,0.0
456,DLTR,Year 1,2013-02-02,7,4.0,1.7326,,,Consumer Discretionary,General Merchandise Stores,37,24.0,9.152899999999999,0.0,0.0
457,DLTR,Year 2,2014-02-01,7,5.0,1.8195,,,Consumer Discretionary,General Merchandise Stores,37,24.0,9.152899999999999,0.0,0.0
458,DLTR,Year 3,2015-01-31,8,5.0,1.9938,,,Consumer Discretionary,General Merchandise Stores,37,24.0,9.152899999999999,0.0,0.0
459,DLTR,Year 4,2016-01-30,15,10.0,3.607,,,Consumer Discretionary,General Merchandise Stores,37,24.0,9.152899999999999,0.0,0.0
460,DNB,Year 1,2012-12-31,1,,1.1232,,0.0783,Industrials,Research & Consulting Services,4,0.0,4.496,0.2499,0.0
461,DNB,Year 2,2013-12-31,1,,1.058,,0.0604,Industrials,Research & Consulting Services,4,0.0,4.496,0.2499,0.0
462,DNB,Year 3,2014-12-31,1,,1.1057,,0.0525,Industrials,Research & Consulting Services,4,0.0,4.496,0.2499,0.0
463,DNB,Year 4,2015-12-31,1,,1.2091,,0.0587,Industrials,Research & Consulting Services,4,0.0,4.496,0.2499,0.0
464,DOV,Year 1,2013-12-31,7,4.0,1.616921,,,Industrials,Industrial Machinery,26,16.0,6.780590999999999,0.0,0.0
465,DOV,Year 2,2014-12-31,7,4.0,1.758765,,,Industrials,Industrial Machinery,26,16.0,6.780590999999999,0.0,0.0
466,DOV,Year 3,2015-12-31,6,4.0,1.647382,,,Industrials,Industrial Machinery,26,16.0,6.780590999999999,0.0,0.0
467,DOV,Year 4,2016-12-31,6,4.0,1.757523,,,Industrials,Industrial Machinery,26,16.0,6.780590999999999,0.0,0.0
468,DPS,Year 1,2013-12-31,5,2.0,2.337,,0.115,Consumer Staples,Soft Drinks,23,8.0,9.318,0.434,0.0
469,DPS,Year 2,2014-12-31,6,2.0,2.335,,0.115,Consumer Staples,Soft Drinks,23,8.0,9.318,0.434,0.0
470,DPS,Year 3,2015-12-31,6,2.0,2.32,,0.105,Consumer Staples,Soft Drinks,23,8.0,9.318,0.434,0.0
471,DPS,Year 4,2016-12-31,6,2.0,2.326,,0.099,Consumer Staples,Soft Drinks,23,8.0,9.318,0.434,0.0
472,DRI,Year 1,2013-05-26,5,4.0,0.6252,,0.2783,Consumer Discretionary,Restaurants,23,18.0,2.5869999999999997,1.1922,0.0
473,DRI,Year 2,2014-05-25,6,4.0,0.6654,,0.3044,Consumer Discretionary,Restaurants,23,18.0,2.5869999999999997,1.1922,0.0
474,DRI,Year 3,2015-05-31,6,5.0,0.6735,,0.3193,Consumer Discretionary,Restaurants,23,18.0,2.5869999999999997,1.1922,0.0
475,DRI,Year 4,2016-05-29,6,5.0,0.6229,,0.2902,Consumer Discretionary,Restaurants,23,18.0,2.5869999999999997,1.1922,0.0
476,DUK,Year 1,2012-12-31,17,11.0,0.965,,2.145,Utilities,Electric Utilities,85,51.0,4.587,11.023,0.0
477,DUK,Year 2,2013-12-31,22,13.0,1.274,,2.668,Utilities,Electric Utilities,85,51.0,4.587,11.023,0.0
478,DUK,Year 3,2014-12-31,23,14.0,1.213,,3.066,Utilities,Electric Utilities,85,51.0,4.587,11.023,0.0
479,DUK,Year 4,2015-12-31,23,13.0,1.135,,3.144,Utilities,Electric Utilities,85,51.0,4.587,11.023,0.0
480,DVA,Year 1,2012-12-31,8,5.0,0.889879,,0.341969,Health Care,Health Care Facilities,44,31.0,5.632028,2.099665,0.0
481,DVA,Year 2,2013-12-31,11,8.0,1.516508,,0.528737,Health Care,Health Care Facilities,44,31.0,5.632028,2.099665,0.0
482,DVA,Year 3,2014-12-31,12,9.0,1.278506,,0.590935,Health Care,Health Care Facilities,44,31.0,5.632028,2.099665,0.0
483,DVA,Year 4,2015-12-31,13,9.0,1.947135,,0.638024,Health Care,Health Care Facilities,44,31.0,5.632028,2.099665,0.0
484,DVN,Year 1,2013-12-31,10,2.0,2.743,,2.78,Energy,Oil & Gas Exploration & Production,55,7.0,25.25,11.02,0.0
485,DVN,Year 2,2014-12-31,20,2.0,8.29,,3.319,Energy,Oil & Gas Exploration & Production,55,7.0,25.25,11.02,0.0
486,DVN,Year 3,2015-12-31,13,2.0,7.741,,3.129,Energy,Oil & Gas Exploration & Production,55,7.0,25.25,11.02,0.0
487,DVN,Year 4,2016-12-31,12,1.0,6.476,,1.792,Energy,Oil & Gas Exploration & Production,55,7.0,25.25,11.02,0.0
488,EA,Year 1,2013-03-31,3,1.0,1.078,1.153,0.03,Information Technology,Home Entertainment Software,14,4.0,4.191,0.067,4.481
489,EA,Year 2,2014-03-31,3,1.0,1.055,1.125,0.016,Information Technology,Home Entertainment Software,14,4.0,4.191,0.067,4.481
490,EA,Year 3,2015-03-31,4,1.0,1.03,1.094,0.014,Information Technology,Home Entertainment Software,14,4.0,4.191,0.067,4.481
491,EA,Year 4,2016-03-31,4,1.0,1.028,1.109,0.007,Information Technology,Home Entertainment Software,14,4.0,4.191,0.067,4.481
492,EBAY,Year 1,2013-12-31,8,1.0,3.26,0.915,0.136,Information Technology,Internet Software & Services,32,5.0,14.012,0.28600000000000003,3.935
493,EBAY,Year 2,2014-12-31,8,1.0,3.593,0.983,0.075,Information Technology,Internet Software & Services,32,5.0,14.012,0.28600000000000003,3.935
494,EBAY,Year 3,2015-12-31,8,1.0,3.66,0.923,0.041,Information Technology,Internet Software & Services,32,5.0,14.012,0.28600000000000003,3.935
495,EBAY,Year 4,2016-12-31,8,2.0,3.499,1.114,0.034,Information Technology,Internet Software & Services,32,5.0,14.012,0.28600000000000003,3.935
496,ECL,Year 1,2012-12-31,11,6.0,4.0183,,,Materials,Specialty Chemicals,51,27.0,17.3017,0.0,0.0
497,ECL,Year 2,2013-12-31,13,7.0,4.3603,,,Materials,Specialty Chemicals,51,27.0,17.3017,0.0,0.0
498,ECL,Year 3,2014-12-31,14,7.0,4.5776,,,Materials,Specialty Chemicals,51,27.0,17.3017,0.0,0.0
499,ECL,Year 4,2015-12-31,13,7.0,4.3455,,,Materials,Specialty Chemicals,51,27.0,17.3017,0.0,0.0
500,ED,Year 1,2013-12-31,12,7.0,1.895,,1.024,Utilities,Electric Utilities,48,27.0,7.74,4.441,0.0
501,ED,Year 2,2014-12-31,12,7.0,1.877,,1.071,Utilities,Electric Utilities,48,27.0,7.74,4.441,0.0
502,ED,Year 3,2015-12-31,12,7.0,1.937,,1.13,Utilities,Electric Utilities,48,27.0,7.74,4.441,0.0
503,ED,Year 4,2016-12-31,12,6.0,2.031,,1.216,Utilities,Electric Utilities,48,27.0,7.74,4.441,0.0
504,EFX,Year 1,2012-12-31,2,0.0,0.6735,,0.16,Industrials,Research & Consulting Services,8,0.0,3.0253,0.7494000000000001,0.0
505,EFX,Year 2,2013-12-31,2,0.0,0.7158,,0.1896,Industrials,Research & Consulting Services,8,0.0,3.0253,0.7494000000000001,0.0
506,EFX,Year 3,2014-12-31,2,0.0,0.7517,,0.2018,Industrials,Research & Consulting Services,8,0.0,3.0253,0.7494000000000001,0.0
507,EFX,Year 4,2015-12-31,2,0.0,0.8843,,0.198,Industrials,Research & Consulting Services,8,0.0,3.0253,0.7494000000000001,0.0
508,EIX,Year 1,2012-12-31,11,7.0,0.296,,1.562,Utilities,Electric Utilities,47,30.0,1.263,6.823,0.0
509,EIX,Year 2,2013-12-31,12,8.0,0.309,,1.622,Utilities,Electric Utilities,47,30.0,1.263,6.823,0.0
510,EIX,Year 3,2014-12-31,13,8.0,0.322,,1.72,Utilities,Electric Utilities,47,30.0,1.263,6.823,0.0
511,EIX,Year 4,2015-12-31,11,7.0,0.336,,1.919,Utilities,Electric Utilities,47,30.0,1.263,6.823,0.0
512,EL,Year 1,2013-06-30,10,2.0,6.597,,,Consumer Staples,Personal Products,41,8.0,27.9942,0.0,0.0
513,EL,Year 2,2014-06-30,10,2.0,6.9859,,,Consumer Staples,Personal Products,41,8.0,27.9942,0.0,0.0
514,EL,Year 3,2015-06-30,10,2.0,7.0735,,,Consumer Staples,Personal Products,41,8.0,27.9942,0.0,0.0
515,EL,Year 4,2016-06-30,11,2.0,7.3378,,,Consumer Staples,Personal Products,41,8.0,27.9942,0.0,0.0
516,EMN,Year 1,2012-12-31,8,6.0,0.644,0.198,,Materials,Diversified Chemicals,35,26.0,2.806,0.0,0.869
517,EMN,Year 2,2013-12-31,9,6.0,0.645,0.193,,Materials,Diversified Chemicals,35,26.0,2.806,0.0,0.869
518,EMN,Year 3,2014-12-31,9,7.0,0.755,0.227,,Materials,Diversified Chemicals,35,26.0,2.806,0.0,0.869
519,EMN,Year 4,2015-12-31,9,7.0,0.762,0.251,,Materials,Diversified Chemicals,35,26.0,2.806,0.0,0.869
520,EMR,Year 1,2013-09-30,24,14.0,6.01,,,Industrials,Industrial Conglomerates,71,40.0,18.208,0.0,0.0
521,EMR,Year 2,2014-09-30,17,9.0,4.375,,,Industrials,Industrial Conglomerates,71,40.0,18.208,0.0,0.0
522,EMR,Year 3,2015-09-30,16,9.0,4.065,,,Industrials,Industrial Conglomerates,71,40.0,18.208,0.0,0.0
523,EMR,Year 4,2016-09-30,14,8.0,3.758,,,Industrials,Industrial Conglomerates,71,40.0,18.208,0.0,0.0
524,EOG,Year 1,2012-12-31,11,1.0,3.862434,,3.169703,Energy,Oil & Gas Exploration & Production,51,7.0,16.943483999999998,14.081364,0.0
525,EOG,Year 2,2013-12-31,14,2.0,4.621096,,3.600976,Energy,Oil & Gas Exploration & Production,51,7.0,16.943483999999998,14.081364,0.0
526,EOG,Year 3,2014-12-31,18,2.0,5.285634,,3.997041,Energy,Oil & Gas Exploration & Production,51,7.0,16.943483999999998,14.081364,0.0
527,EOG,Year 4,2015-12-31,8,2.0,3.17432,,3.313644,Energy,Oil & Gas Exploration & Production,51,7.0,16.943483999999998,14.081364,0.0
528,EQIX,Year 1,2012-12-31,1,0.0,0.53118,,,Real Estate,REITs,7,3.0,2.712008,0.0,0.0
529,EQIX,Year 2,2013-12-31,2,1.0,0.621413,,,Real Estate,REITs,7,3.0,2.712008,0.0,0.0
530,EQIX,Year 3,2014-12-31,2,1.0,0.734119,,,Real Estate,REITs,7,3.0,2.712008,0.0,0.0
531,EQIX,Year 4,2015-12-31,2,1.0,0.825296,,,Real Estate,REITs,7,3.0,2.712008,0.0,0.0
532,EQR,Year 1,2012-12-31,1,0.0,0.047233,,0.560669,Real Estate,REITs,7,0.0,0.225442,3.0643979999999997,0.0
533,EQR,Year 2,2013-12-31,2,0.0,0.062179,,0.978973,Real Estate,REITs,7,0.0,0.225442,3.0643979999999997,0.0
534,EQR,Year 3,2014-12-31,2,0.0,0.050948,,0.758861,Real Estate,REITs,7,0.0,0.225442,3.0643979999999997,0.0
535,EQR,Year 4,2015-12-31,2,0.0,0.065082,,0.765895,Real Estate,REITs,7,0.0,0.225442,3.0643979999999997,0.0
536,EQT,Year 1,2013-12-31,1,0.0,0.200849,,0.653132,Energy,Oil & Gas Exploration & Production,5,0.0,0.961655,3.079566,0.0
537,EQT,Year 2,2014-12-31,2,0.0,0.238134,,0.679298,Energy,Oil & Gas Exploration & Production,5,0.0,0.961655,3.079566,0.0
538,EQT,Year 3,2015-12-31,1,0.0,0.249925,,0.819216,Energy,Oil & Gas Exploration & Production,5,0.0,0.961655,3.079566,0.0
539,EQT,Year 4,2016-12-31,1,0.0,0.272747,,0.92792,Energy,Oil & Gas Exploration & Production,5,0.0,0.961655,3.079566,0.0
540,ES,Year 1,2012-12-31,6,3.0,0.747356,,0.740791,Utilities,MultiUtilities,27,14.0,3.782286,2.914027,0.0
541,ES,Year 2,2013-12-31,7,3.0,0.914149,,0.85968,Utilities,MultiUtilities,27,14.0,3.782286,2.914027,0.0
542,ES,Year 3,2014-12-31,7,4.0,1.034507,,0.625361,Utilities,MultiUtilities,27,14.0,3.782286,2.914027,0.0
543,ES,Year 4,2015-12-31,7,4.0,1.086274,,0.688195,Utilities,MultiUtilities,27,14.0,3.782286,2.914027,0.0
544,ESS,Year 1,2012-12-31,0,0.0,0.024573,,0.169173,Real Estate,Residential REITs,1,0.0,0.13222499999999998,1.175608,0.0
545,ESS,Year 2,2013-12-31,0,0.0,0.026684,,0.19242,Real Estate,Residential REITs,1,0.0,0.13222499999999998,1.175608,0.0
546,ESS,Year 3,2014-12-31,0,0.0,0.040878,,0.360592,Real Estate,Residential REITs,1,0.0,0.13222499999999998,1.175608,0.0
547,ESS,Year 4,2015-12-31,1,0.0,0.04009,,0.453423,Real Estate,Residential REITs,1,0.0,0.13222499999999998,1.175608,0.0
548,ETFC,Year 1,2012-12-31,1,,0.921,,0.471,Financials,Investment Banking & Brokerage,4,0.0,3.815,0.9239999999999999,0.0
549,ETFC,Year 2,2013-12-31,1,,0.888,,0.256,Financials,Investment Banking & Brokerage,4,0.0,3.815,0.9239999999999999,0.0
550,ETFC,Year 3,2014-12-31,1,,0.958,,0.136,Financials,Investment Banking & Brokerage,4,0.0,3.815,0.9239999999999999,0.0
551,ETFC,Year 4,2015-12-31,1,,1.048,,0.061,Financials,Investment Banking & Brokerage,4,0.0,3.815,0.9239999999999999,0.0
552,ETN,Year 1,2012-12-31,16,11.0,2.894,0.439,,Industrials,Industrial Conglomerates,80,55.0,14.186,0.0,2.355
553,ETN,Year 2,2013-12-31,22,15.0,3.886,0.644,,Industrials,Industrial Conglomerates,80,55.0,14.186,0.0,2.355
554,ETN,Year 3,2014-12-31,22,15.0,3.81,0.647,,Industrials,Industrial Conglomerates,80,55.0,14.186,0.0,2.355
555,ETN,Year 4,2015-12-31,20,14.0,3.596,0.625,,Industrials,Industrial Conglomerates,80,55.0,14.186,0.0,2.355
556,ETR,Year 1,2012-12-31,10,6.0,0.917162,,1.144585,Utilities,Electric Utilities,44,28.0,3.743666,5.061543,0.0
557,ETR,Year 2,2013-12-31,11,7.0,0.888051,,1.261044,Utilities,Electric Utilities,44,28.0,3.743666,5.061543,0.0
558,ETR,Year 3,2014-12-31,12,8.0,0.863455,,1.318638,Utilities,Electric Utilities,44,28.0,3.743666,5.061543,0.0
559,ETR,Year 4,2015-12-31,11,7.0,1.074998,,1.337276,Utilities,Electric Utilities,44,28.0,3.743666,5.061543,0.0
560,EW,Year 1,2012-12-31,1,0.0,0.6974,0.2913,,Health Care,Health Care Equipment,7,0.0,3.2265,0.0,1.3439
561,EW,Year 2,2013-12-31,2,0.0,0.7497,0.323,,Health Care,Health Care Equipment,7,0.0,3.2265,0.0,1.3439
562,EW,Year 3,2014-12-31,2,0.0,0.9287,0.3465,,Health Care,Health Care Equipment,7,0.0,3.2265,0.0,1.3439
563,EW,Year 4,2015-12-31,2,0.0,0.8507,0.3831,,Health Care,Health Care Equipment,7,0.0,3.2265,0.0,1.3439
564,EXC,Year 1,2013-12-31,24,17.0,1.095,,2.153,Utilities,MultiUtilities,111,81.0,5.025,10.853,0.0
565,EXC,Year 2,2014-12-31,27,21.0,1.154,,2.314,Utilities,MultiUtilities,111,81.0,5.025,10.853,0.0
566,EXC,Year 3,2015-12-31,29,21.0,1.2,,2.45,Utilities,MultiUtilities,111,81.0,5.025,10.853,0.0
567,EXC,Year 4,2016-12-31,31,22.0,1.576,,3.936,Utilities,MultiUtilities,111,81.0,5.025,10.853,0.0
568,EXPD,Year 1,2012-12-31,5,4.0,1.264632,,0.03994,Industrials,Air Freight & Logistics,23,16.0,5.305109,0.183315,0.0
569,EXPD,Year 2,2013-12-31,6,4.0,1.282709,,0.048071,Industrials,Air Freight & Logistics,23,16.0,5.305109,0.183315,0.0
570,EXPD,Year 3,2014-12-31,6,4.0,1.337487,,0.049292,Industrials,Air Freight & Logistics,23,16.0,5.305109,0.183315,0.0
571,EXPD,Year 4,2015-12-31,6,4.0,1.420281,,0.046012,Industrials,Air Freight & Logistics,23,16.0,5.305109,0.183315,0.0
572,EXPE,Year 1,2013-12-31,4,1.0,3.151043,,0.071731,Consumer Discretionary,Internet & Direct Marketing Retail,23,4.0,18.136870000000002,0.6221030000000001,0.0
573,EXPE,Year 2,2014-12-31,5,1.0,3.919856,,0.076773,Consumer Discretionary,Internet & Direct Marketing Retail,23,4.0,18.136870000000002,0.6221030000000001,0.0
574,EXPE,Year 3,2015-12-31,6,1.0,4.785243,,0.156458,Consumer Discretionary,Internet & Direct Marketing Retail,23,4.0,18.136870000000002,0.6221030000000001,0.0
575,EXPE,Year 4,2016-12-31,8,1.0,6.280728,,0.317141,Consumer Discretionary,Internet & Direct Marketing Retail,23,4.0,18.136870000000002,0.6221030000000001,0.0
576,EXR,Year 1,2012-12-31,0,0.0,0.058323,,0.074453,Real Estate,Specialized REITs,0,0.0,0.273751,0.418218,0.0
577,EXR,Year 2,2013-12-31,0,0.0,0.063268,,0.095232,Real Estate,Specialized REITs,0,0.0,0.273751,0.418218,0.0
578,EXR,Year 3,2014-12-31,0,0.0,0.071369,,0.115076,Real Estate,Specialized REITs,0,0.0,0.273751,0.418218,0.0
579,EXR,Year 4,2015-12-31,0,0.0,0.080791,,0.133457,Real Estate,Specialized REITs,0,0.0,0.273751,0.418218,0.0
580,F,Year 1,2013-12-31,146,123.0,10.85,,,Consumer Discretionary,Automobile Manufacturers,590,520.0,45.39,0.0,0.0
581,F,Year 2,2014-12-31,144,131.0,11.842,,,Consumer Discretionary,Automobile Manufacturers,590,520.0,45.39,0.0,0.0
582,F,Year 3,2015-12-31,149,131.0,10.502,,,Consumer Discretionary,Automobile Manufacturers,590,520.0,45.39,0.0,0.0
583,F,Year 4,2016-12-31,151,135.0,12.196,,,Consumer Discretionary,Automobile Manufacturers,590,520.0,45.39,0.0,0.0
584,FAST,Year 1,2013-12-31,3,1.0,1.007431,,,Industrials,Building Products,12,4.0,4.409267,0.0,0.0
585,FAST,Year 2,2014-12-31,3,1.0,1.110776,,,Industrials,Building Products,12,4.0,4.409267,0.0,0.0
586,FAST,Year 3,2015-12-31,3,1.0,1.12159,,,Industrials,Building Products,12,4.0,4.409267,0.0,0.0
587,FAST,Year 4,2016-12-31,3,1.0,1.16947,,,Industrials,Building Products,12,4.0,4.409267,0.0,0.0
588,FB,Year 1,2013-12-31,7,1.0,1.778,1.415,,Information Technology,Internet Software & Services,63,8.0,13.954,0.0,14.815999999999999
589,FB,Year 2,2014-12-31,12,2.0,2.653,2.666,,Information Technology,Internet Software & Services,63,8.0,13.954,0.0,14.815999999999999
590,FB,Year 3,2015-12-31,17,2.0,4.02,4.816,,Information Technology,Internet Software & Services,63,8.0,13.954,0.0,14.815999999999999
591,FB,Year 4,2016-12-31,27,3.0,5.503,5.919,,Information Technology,Internet Software & Services,63,8.0,13.954,0.0,14.815999999999999
592,FBHS,Year 1,2012-12-31,3,2.0,0.8731,,0.0074,Industrials,Building Products,14,8.0,3.8027,0.051500000000000004,0.0
593,FBHS,Year 2,2013-12-31,3,2.0,0.9387,,0.0094,Industrials,Building Products,14,8.0,3.8027,0.051500000000000004,0.0
594,FBHS,Year 3,2014-12-31,4,2.0,0.9433,,0.0131,Industrials,Building Products,14,8.0,3.8027,0.051500000000000004,0.0
595,FBHS,Year 4,2015-12-31,4,2.0,1.0476,,0.0216,Industrials,Building Products,14,8.0,3.8027,0.051500000000000004,0.0
596,FCX,Year 1,2012-12-31,18,11.0,0.431,0.285,,Materials,Copper,74,72.0,2.249,0.0,0.748
597,FCX,Year 2,2013-12-31,20,14.0,0.657,0.21,,Materials,Copper,74,72.0,2.249,0.0,0.748
598,FCX,Year 3,2014-12-31,21,19.0,0.592,0.126,,Materials,Copper,74,72.0,2.249,0.0,0.748
599,FCX,Year 4,2015-12-31,15,28.0,0.569,0.127,,Materials,Copper,74,72.0,2.249,0.0,0.748
600,FDX,Year 1,2013-05-31,44,16.0,20.359,,2.386,Industrials,Air Freight & Logistics,186,66.0,95.517,10.215,0.0
601,FDX,Year 2,2014-05-31,45,17.0,22.113,,2.587,Industrials,Air Freight & Logistics,186,66.0,95.517,10.215,0.0
602,FDX,Year 3,2015-05-31,47,16.0,25.715,,2.611,Industrials,Air Freight & Logistics,186,66.0,95.517,10.215,0.0
603,FDX,Year 4,2016-05-31,50,17.0,27.33,,2.631,Industrials,Air Freight & Logistics,186,66.0,95.517,10.215,0.0
604,FE,Year 1,2012-12-31,15,6.0,5.353,,1.051,Utilities,Electric Utilities,59,24.0,20.396,5.574,0.0
605,FE,Year 2,2013-12-31,14,6.0,4.315,,1.741,Utilities,Electric Utilities,59,24.0,20.396,5.574,0.0
606,FE,Year 3,2014-12-31,15,6.0,5.759,,1.232,Utilities,Electric Utilities,59,24.0,20.396,5.574,0.0
607,FE,Year 4,2015-12-31,15,6.0,4.969,,1.55,Utilities,Electric Utilities,59,24.0,20.396,5.574,0.0
608,FFIV,Year 1,2013-09-30,1,0.0,0.587835,0.209614,,Information Technology,Networking Equipment,4,0.0,2.757827,0.0,1.104216
609,FFIV,Year 2,2014-09-30,1,0.0,0.664738,0.263792,,Information Technology,Networking Equipment,4,0.0,2.757827,0.0,1.104216
610,FFIV,Year 3,2015-09-30,1,0.0,0.73808,0.296583,,Information Technology,Networking Equipment,4,0.0,2.757827,0.0,1.104216
611,FFIV,Year 4,2016-09-30,1,0.0,0.767174,0.334227,,Information Technology,Networking Equipment,4,0.0,2.757827,0.0,1.104216
612,FIS,Year 1,2012-12-31,5,3.0,0.7633,,,Information Technology,Internet Software & Services,23,15.0,3.5888,0.0,0.0
613,FIS,Year 2,2013-12-31,6,4.0,0.9078,,,Information Technology,Internet Software & Services,23,15.0,3.5888,0.0,0.0
614,FIS,Year 3,2014-12-31,6,4.0,0.8149,,,Information Technology,Internet Software & Services,23,15.0,3.5888,0.0,0.0
615,FIS,Year 4,2015-12-31,6,4.0,1.1028,,,Information Technology,Internet Software & Services,23,15.0,3.5888,0.0,0.0
616,FISV,Year 1,2012-12-31,4,2.0,0.824,,,Information Technology,Internet Software & Services,18,8.0,3.81,0.0,0.0
617,FISV,Year 2,2013-12-31,4,2.0,0.977,,,Information Technology,Internet Software & Services,18,8.0,3.81,0.0,0.0
618,FISV,Year 3,2014-12-31,5,2.0,0.975,,,Information Technology,Internet Software & Services,18,8.0,3.81,0.0,0.0
619,FISV,Year 4,2015-12-31,5,2.0,1.034,,,Information Technology,Internet Software & Services,18,8.0,3.81,0.0,0.0
620,FL,Year 1,2013-02-02,6,4.0,1.294,,0.118,Consumer Discretionary,Apparel Retail,26,16.0,5.469,0.538,0.0
621,FL,Year 2,2014-02-01,6,4.0,1.334,,0.133,Consumer Discretionary,Apparel Retail,26,16.0,5.469,0.538,0.0
622,FL,Year 3,2015-01-31,7,4.0,1.426,,0.139,Consumer Discretionary,Apparel Retail,26,16.0,5.469,0.538,0.0
623,FL,Year 4,2016-01-30,7,4.0,1.415,,0.148,Consumer Discretionary,Apparel Retail,26,16.0,5.469,0.538,0.0
624,FLIR,Year 1,2012-12-31,1,0.0,0.2925,0.137354,,Information Technology,Electronic Equipment & Instruments,4,0.0,1.260778,0.0,0.560693
625,FLIR,Year 2,2013-12-31,1,0.0,0.322739,0.147696,,Information Technology,Electronic Equipment & Instruments,4,0.0,1.260778,0.0,0.560693
626,FLIR,Year 3,2014-12-31,1,0.0,0.331995,0.142751,,Information Technology,Electronic Equipment & Instruments,4,0.0,1.260778,0.0,0.560693
627,FLIR,Year 4,2015-12-31,1,0.0,0.313544,0.132892,,Information Technology,Electronic Equipment & Instruments,4,0.0,1.260778,0.0,0.560693
628,FLR,Year 1,2013-12-31,27,25.0,0.175148,,,Industrials,Diversified Commercial Services,85,80.0,0.957157,0.0,0.0
629,FLR,Year 2,2014-12-31,21,20.0,0.182711,,,Industrials,Diversified Commercial Services,85,80.0,0.957157,0.0,0.0
630,FLR,Year 3,2015-12-31,18,17.0,0.408225,,,Industrials,Diversified Commercial Services,85,80.0,0.957157,0.0,0.0
631,FLR,Year 4,2016-12-31,19,18.0,0.191073,,,Industrials,Diversified Commercial Services,85,80.0,0.957157,0.0,0.0
632,FLS,Year 1,2013-12-31,4,3.0,0.966829,,,Industrials,Industrial Machinery,15,11.0,3.840662,0.0,0.0
633,FLS,Year 2,2014-12-31,4,3.0,0.9369,,,Industrials,Industrial Machinery,15,11.0,3.840662,0.0,0.0
634,FLS,Year 3,2015-12-31,4,3.0,0.971611,,,Industrials,Industrial Machinery,15,11.0,3.840662,0.0,0.0
635,FLS,Year 4,2016-12-31,3,2.0,0.965322,,,Industrials,Industrial Machinery,15,11.0,3.840662,0.0,0.0
